epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.05102,2.58972,3.20917,2.50487,0.00333,1,0.28517,0.08032,2.47868,4.09756,2.57862,0,0,0
2,15.1605,2.04172,3.06582,1.977,0.00333,1,0.33841,0.10014,2.42625,4.28017,2.5835,1.934e-05,1.934e-05,1.934e-05
3,19.9737,2.66587,3.39121,2.79236,0.00333,1,0.41004,0.13166,2.30596,4.23223,2.53241,3.736e-05,3.736e-05,3.736e-05
4,24.7461,2.14223,3.15388,1.94481,0.00333,1,0.49416,0.13582,2.40268,3.85973,2.73367,5.406e-05,5.406e-05,5.406e-05
5,29.5022,2.44923,3.12266,2.17514,0.00333,1,0.70621,0.21316,2.29329,3.7862,2.49374,6.944e-05,6.944e-05,6.944e-05
6,34.3848,2.11739,2.76624,1.77785,0.00333,1,0.85333,0.28991,2.13727,3.66229,2.27419,8.35e-05,8.35e-05,8.35e-05
7,38.9871,1.9807,2.78775,1.88384,0.00333,1,0.92,0.36236,1.96027,3.41199,1.96751,9.624e-05,9.624e-05,9.624e-05
8,43.7821,1.4399,2.85674,1.60062,0.00333,1,0.92,0.44844,1.73956,3.24469,1.71842,0.00010766,0.00010766,0.00010766
9,49.4003,1.66414,2.59556,1.58305,0.00333,1,0.96167,0.52249,1.51712,3.1565,1.50746,0.00011776,0.00011776,0.00011776
10,56.2698,1.86578,2.78344,2.07191,0.00333,1,0.96167,0.6829,1.20436,2.97152,1.28808,0.00012654,0.00012654,0.00012654
11,63.2194,1.42778,2.34698,1.61585,0.00333,1,0.96167,0.75561,0.93128,2.92356,1.18212,0.000134,0.000134,0.000134
12,70.6165,1.58895,2.24194,1.45426,0.00333,1,0.93786,0.66783,0.9344,2.87414,1.16346,0.00014014,0.00014014,0.00014014
13,77.6687,1.49055,1.87648,1.37086,0.00333,1,0.92,0.65392,0.92771,2.86664,1.15931,0.00014496,0.00014496,0.00014496
14,83.7915,0.97356,2.10207,1.25717,0.00333,1,0.93786,0.56934,0.9741,2.86333,1.17779,0.00014846,0.00014846,0.00014846
15,88.3385,1.42221,2.51398,1.70756,0.00333,1,0.995,0.63503,0.95728,2.81587,1.19442,0.00015064,0.00015064,0.00015064
16,94.4276,1.42526,2.33149,1.4815,0.00333,1,0.995,0.59461,0.90154,2.76401,1.20868,0.0001515,0.0001515,0.0001515
17,101.374,1.3525,1.68556,1.29941,0.00333,1,0.995,0.64103,0.86137,2.74429,1.1765,0.00015104,0.00015104,0.00015104
18,105.92,1.14607,1.27568,1.20994,0.00333,1,0.995,0.64103,0.86137,2.74429,1.1765,0.00014926,0.00014926,0.00014926
19,111.18,1.38264,1.84938,1.53863,0.00333,1,0.995,0.72062,0.76039,2.72527,1.10003,0.00014616,0.00014616,0.00014616
20,115.908,1.06876,1.22919,1.16887,0.00333,1,0.995,0.72062,0.76039,2.72527,1.10003,0.00014174,0.00014174,0.00014174
21,120.763,0.95474,1.72864,1.29301,0.00333,1,0.995,0.72635,0.66879,2.67806,0.99774,0.000136,0.000136,0.000136
22,125.439,0.81636,1.86658,1.01374,0.00333,1,0.995,0.72635,0.66879,2.67806,0.99774,0.00012894,0.00012894,0.00012894
23,131.754,0.84094,1.87281,1.14551,0.00333,1,0.995,0.76892,0.6281,2.63545,0.96953,0.00012056,0.00012056,0.00012056
24,138.508,0.95294,1.83427,1.25583,0.00333,1,0.995,0.76892,0.6281,2.63545,0.96953,0.00011086,0.00011086,0.00011086
25,145.564,0.78447,1.6377,1.03227,0.00333,1,0.995,0.81457,0.61636,2.63023,0.9575,9.984e-05,9.984e-05,9.984e-05
26,152.282,0.94774,1.9976,1.18054,0.00333,1,0.995,0.81457,0.61636,2.63023,0.9575,8.75e-05,8.75e-05,8.75e-05
27,159.737,0.8123,1.4384,1.06187,0.00333,1,0.995,0.86032,0.5548,2.61348,0.93881,7.384e-05,7.384e-05,7.384e-05
28,166.678,0.59491,1.52451,0.99657,0.00333,1,0.995,0.86032,0.5548,2.61348,0.93881,5.886e-05,5.886e-05,5.886e-05
29,173.71,0.46515,1.51646,0.89424,0.00333,1,0.995,0.87007,0.52379,2.60835,0.92399,4.256e-05,4.256e-05,4.256e-05
30,180.674,0.68646,1.67221,1.08832,0.00333,1,0.995,0.87007,0.52379,2.60835,0.92399,2.494e-05,2.494e-05,2.494e-05
